listing_nickname,launch_date,end_date,building,neighborhood
C703,7/27/17,7/27/18,cove,capitol hill
C708,7/27/17,7/27/18,cove,capitol hill
C709,7/27/17,7/27/18,cove,capitol hill
C710,7/27/17,7/27/18,cove,capitol hill
C711,7/27/17,7/27/18,cove,capitol hill
CR109,6/15/18,12/31/19,chroma,south lake union
CR110,6/15/18,12/31/19,chroma,south lake union
CR111,6/15/18,12/31/19,chroma,south lake union
CR113,6/15/18,12/31/19,chroma,south lake union
CR114,6/13/18,12/31/19,chroma,south lake union
CR302,5/14/18,12/31/19,chroma,south lake union
CR304,5/14/18,12/31/19,chroma,south lake union
CR305,5/14/18,12/31/19,chroma,south lake union
CR307,5/14/18,12/31/19,chroma,south lake union
CR308,5/14/18,12/31/19,chroma,south lake union
CR310,5/14/18,12/31/19,chroma,south lake union
CR312,5/14/18,12/31/19,chroma,south lake union
CR314,5/14/18,12/31/19,chroma,south lake union
CR315,5/14/18,12/31/19,chroma,south lake union
CR316,5/14/18,12/31/19,chroma,south lake union
CR317,5/14/18,12/31/19,chroma,south lake union
CR322,5/14/18,12/31/19,chroma,south lake union
CR323,5/14/18,12/31/19,chroma,south lake union
CR324,5/14/18,12/31/19,chroma,south lake union
CR401,5/14/18,12/31/19,chroma,south lake union
CR402,5/14/18,12/31/19,chroma,south lake union
CR404,5/14/18,12/31/19,chroma,south lake union
CR409,5/14/18,12/31/19,chroma,south lake union
CR410,5/14/18,12/31/19,chroma,south lake union
CR413,5/14/18,12/31/19,chroma,south lake union
CR414,5/14/18,12/31/19,chroma,south lake union
CR416,5/14/18,12/31/19,chroma,south lake union
CR417,5/14/18,12/31/19,chroma,south lake union
CR422,5/14/18,12/31/19,chroma,south lake union
CR423,5/14/18,12/31/19,chroma,south lake union
CR424,5/14/18,12/31/19,chroma,south lake union
CR503,5/14/18,12/31/19,chroma,south lake union
CR505,5/14/18,12/31/19,chroma,south lake union
CR511,5/14/18,12/31/19,chroma,south lake union
CR513,5/14/18,12/31/19,chroma,south lake union
CR514,5/14/18,12/31/19,chroma,south lake union
CR515,5/14/18,12/31/19,chroma,south lake union
CR516,5/14/18,12/31/19,chroma,south lake union
CR517,5/14/18,12/31/19,chroma,south lake union
CR519,5/14/18,12/31/19,chroma,south lake union
E4A,2/27/17,10/31/18,bayview,lower queen anne
E4F,10/2/16,10/2/18,bayview,lower queen anne
EX706,2/2/17,12/31/18,excelsior,capitol hill
EX707,2/1/17,12/31/18,excelsior,capitol hill
EX815,3/24/17,12/31/18,excelsior,capitol hill
EX826,3/24/17,12/31/18,excelsior,capitol hill
EX829,3/24/17,12/31/18,excelsior,capitol hill
M601,11/1/17,11/1/18,mark,south lake union
M603,11/1/17,11/1/18,mark,south lake union
M605,12/2/17,11/1/18,mark,south lake union
M615,10/19/16,10/19/18,mark,south lake union
M617,10/19/16,10/19/18,mark,south lake union
M619,10/19/16,10/19/18,mark,south lake union
M621,10/25/16,10/19/18,mark,south lake union
M623,10/25/16,10/19/18,mark,south lake union
MS202,1/15/18,4/30/18,marina,south lake union
MS202,1/15/18,5/9/18,marina,south lake union
MS202,12/31/19,12/31/19,marina,south lake union
MS203,1/15/18,4/30/18,marina,south lake union
MS203,1/15/18,5/9/18,marina,south lake union
MS203,12/31/19,12/31/19,marina,south lake union
MS204,1/15/18,4/30/18,marina,south lake union
MS204,1/15/18,5/9/18,marina,south lake union
MS204,12/31/19,12/31/19,marina,south lake union
MS205,1/15/18,4/30/18,marina,south lake union
MS205,1/15/18,5/9/18,marina,south lake union
MS205,8/28/18,12/31/19,marina,south lake union
MS206,1/15/18,4/30/18,marina,south lake union
MS206,1/15/18,5/9/18,marina,south lake union
MS206,8/28/18,12/31/19,marina,south lake union
MS207,1/15/18,4/30/18,marina,south lake union
MS207,1/15/18,5/9/18,marina,south lake union
MS207,8/28/18,12/31/19,marina,south lake union
MS208,1/15/18,4/30/18,marina,south lake union
MS208,1/15/18,5/9/18,marina,south lake union
MS208,8/28/18,12/31/19,marina,south lake union
MS210,1/15/18,4/30/18,marina,south lake union
MS210,1/15/18,5/9/18,marina,south lake union
MS210,8/28/18,12/31/19,marina,south lake union
MS304,1/15/18,4/30/18,marina,south lake union
MS304,1/15/18,5/9/18,marina,south lake union
MS304,8/29/18,12/31/19,marina,south lake union
MS309,1/15/18,4/30/18,marina,south lake union
MS309,1/15/18,5/9/18,marina,south lake union
MS309,8/29/18,12/31/19,marina,south lake union
MS310,1/15/18,4/30/18,marina,south lake union
MS310,1/15/18,5/9/18,marina,south lake union
MS310,8/29/18,12/31/19,marina,south lake union
MS311,1/15/18,4/30/18,marina,south lake union
MS311,1/15/18,5/9/18,marina,south lake union
MS311,8/29/18,12/31/19,marina,south lake union
MS402,1/15/18,4/30/18,marina,south lake union
MS402,1/15/18,5/9/18,marina,south lake union
MS402,8/29/18,12/31/19,marina,south lake union
MS403,1/15/18,4/30/18,marina,south lake union
MS403,1/15/18,5/9/18,marina,south lake union
MS403,8/30/18,12/31/19,marina,south lake union
MS404,1/15/18,4/30/18,marina,south lake union
MS404,1/15/18,5/9/18,marina,south lake union
MS404,9/1/18,12/31/19,marina,south lake union
MS406,1/15/18,4/30/18,marina,south lake union
MS406,1/15/18,5/9/18,marina,south lake union
MS406,9/1/18,12/31/19,marina,south lake union
MS407,1/15/18,4/30/18,marina,south lake union
MS407,1/15/18,5/9/18,marina,south lake union
MS407,12/31/19,12/31/19,marina,south lake union
MS508,1/15/18,4/30/18,marina,south lake union
MS508,1/15/18,5/9/18,marina,south lake union
MS508,12/31/19,12/31/19,marina,south lake union
MS509,1/15/18,4/30/18,marina,south lake union
MS509,1/15/18,5/9/18,marina,south lake union
MS509,12/31/19,12/31/19,marina,south lake union
MS510,1/15/18,4/30/18,marina,south lake union
MS510,1/15/18,5/9/18,marina,south lake union
MS510,8/30/18,12/31/19,marina,south lake union
MS511,1/15/18,4/30/18,marina,south lake union
MS511,1/15/18,5/9/18,marina,south lake union
MS511,8/30/18,12/31/19,marina,south lake union
MS512,1/15/18,4/30/18,marina,south lake union
MS512,1/15/18,5/9/18,marina,south lake union
MS512,9/25/18,12/31/19,marina,south lake union
MS513,1/15/18,4/30/18,marina,south lake union
MS513,1/15/18,5/9/18,marina,south lake union
MS513,8/30/18,12/31/19,marina,south lake union
MS514,1/15/18,4/30/18,marina,south lake union
MS514,1/15/18,5/9/18,marina,south lake union
MS514,8/30/18,12/31/19,marina,south lake union
MS515,1/15/18,4/30/18,marina,south lake union
MS515,1/15/18,5/9/18,marina,south lake union
MS515,9/11/18,12/31/19,marina,south lake union
MS516,1/15/18,4/30/18,marina,south lake union
MS516,1/15/18,5/9/18,marina,south lake union
MS516,12/31/19,12/31/19,marina,south lake union
MS517,1/15/18,4/30/18,marina,south lake union
MS517,1/15/18,5/9/18,marina,south lake union
MS517,9/7/18,12/31/19,marina,south lake union
MS518,1/15/18,4/30/18,marina,south lake union
MS518,1/15/18,5/9/18,marina,south lake union
MS518,9/7/18,12/31/19,marina,south lake union
MS519,1/15/18,4/30/18,marina,south lake union
MS519,1/15/18,5/9/18,marina,south lake union
MS519,9/4/18,12/31/19,marina,south lake union
MS520,1/15/18,4/30/18,marina,south lake union
MS520,1/15/18,5/9/18,marina,south lake union
MS520,9/4/18,12/31/19,marina,south lake union
MS609,1/15/18,4/30/18,marina,south lake union
MS609,1/15/18,5/9/18,marina,south lake union
MS609,12/31/19,12/31/19,marina,south lake union
MS610,1/15/18,4/30/18,marina,south lake union
MS610,1/15/18,5/9/18,marina,south lake union
MS610,9/3/18,12/31/19,marina,south lake union
MS611,1/15/18,4/30/18,marina,south lake union
MS611,1/15/18,5/9/18,marina,south lake union
MS611,9/4/18,12/31/19,marina,south lake union
MS613,1/15/18,4/30/18,marina,south lake union
MS613,1/15/18,5/9/18,marina,south lake union
MS613,9/4/18,12/31/19,marina,south lake union
MS614,1/15/18,4/30/18,marina,south lake union
MS614,1/15/18,5/9/18,marina,south lake union
MS614,9/4/18,12/31/19,marina,south lake union
MS615,1/15/18,4/30/18,marina,south lake union
MS615,1/15/18,5/9/18,marina,south lake union
MS615,9/4/18,12/31/19,marina,south lake union
MS616,1/15/18,4/30/18,marina,south lake union
MS616,1/15/18,5/9/18,marina,south lake union
MS616,12/31/19,12/31/19,marina,south lake union
MS617,1/15/18,4/30/18,marina,south lake union
MS617,1/15/18,5/9/18,marina,south lake union
MS617,9/4/18,12/31/19,marina,south lake union
MS618,1/15/18,4/30/18,marina,south lake union
MS618,1/15/18,5/9/18,marina,south lake union
MS618,9/5/18,12/31/19,marina,south lake union
MS812,1/15/18,4/30/18,marina,south lake union
MS812,1/15/18,5/9/18,marina,south lake union
MS812,9/5/18,12/31/19,marina,south lake union
MS813,1/15/18,4/30/18,marina,south lake union
MS813,1/15/18,5/9/18,marina,south lake union
MS813,9/5/18,12/31/19,marina,south lake union
MS814,1/15/18,4/30/18,marina,south lake union
MS814,1/15/18,5/9/18,marina,south lake union
MS814,9/4/18,12/31/19,marina,south lake union
MS815,1/15/18,4/30/18,marina,south lake union
MS815,1/15/18,5/9/18,marina,south lake union
MS815,9/4/18,12/31/19,marina,south lake union
MS816,1/15/18,4/30/18,marina,south lake union
MS816,1/15/18,5/9/18,marina,south lake union
MS816,9/3/18,12/31/19,marina,south lake union
MS817,1/15/18,4/30/18,marina,south lake union
MS817,1/15/18,5/9/18,marina,south lake union
MS817,9/5/18,12/31/19,marina,south lake union
MS818,1/15/18,4/30/18,marina,south lake union
MS818,1/15/18,5/9/18,marina,south lake union
MS818,9/5/18,12/31/19,marina,south lake union
MS913,1/15/18,4/30/18,marina,south lake union
MS913,1/15/18,5/9/18,marina,south lake union
MS913,9/3/18,12/31/19,marina,south lake union
MS914,1/15/18,4/30/18,marina,south lake union
MS914,1/15/18,5/9/18,marina,south lake union
MS914,9/5/18,12/31/19,marina,south lake union
MS915,1/15/18,4/30/18,marina,south lake union
MS915,1/15/18,5/9/18,marina,south lake union
MS915,9/7/18,12/31/19,marina,south lake union
MS916,1/15/18,4/30/18,marina,south lake union
MS916,1/15/18,5/9/18,marina,south lake union
MS916,9/7/18,12/31/19,marina,south lake union
R527,10/3/16,10/3/18,rollin,south lake union
R712,3/7/17,12/31/18,rollin,south lake union
R912,10/12/16,10/12/18,rollin,south lake union
T19G,10/31/16,10/31/17,tower,downtown
T8D,11/2/16,10/31/17,tower,downtown
V504,11/9/16,12/31/17,volta,belltown
V603,2/19/17,12/31/18,volta,belltown
V604,11/4/16,12/31/18,volta,belltown
V703,11/4/16,12/31/18,volta,belltown
VK1701,4/10/17,12/31/18,viktoria,belltown
VR1203,1/4/17,12/31/18,verve,belltown
VR1204,11/30/16,12/31/18,verve,belltown
VR1207,2/11/17,12/31/18,verve,belltown