listing_nickname,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
E4A,bayview,Elliott Bayview,"151 John St, Seattle WA 98109.",47.6196014,-122.3537352,lower queen anne,OG30
E4F,bayview,Elliott Bayview,"151 John St, Seattle WA 98109.",47.6196014,-122.3537352,lower queen anne,OG30
T8D,tower,Tower 801,"801 Pine Street, Seattle, WA 98101.",47.6129715,-122.3327218,downtown,OG30
T19G,tower,Tower 801,"801 Pine Street, Seattle, WA 98101.",47.6129715,-122.3327218,downtown,OG30
V504,volta,Volta,"2233 1st Ave, Seattle WA 98121.",47.6130931,-122.3465963,belltown,OG30
R527,rollin,Rollin Street Flats,"120 Westlake Ave N, Seattle WA 98109.",47.619116,-122.338084,south lake union,OG30
M601,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,south lake union,OG30
M603,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,south lake union,OG30
V603,volta,Volta,"2233 1st Ave, Seattle WA 98121.",47.6130931,-122.3465963,belltown,OG30
V604,volta,Volta,"2233 1st Ave, Seattle WA 98121.",47.6130931,-122.3465963,belltown,OG30
M605,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,south lake union,OG30
M615,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,south lake union,OG30
M617,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,south lake union,OG30
M619,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,south lake union,OG30
M621,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,south lake union,OG30
M623,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,south lake union,OG30
C703,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
V703,volta,Volta,"2233 1st Ave, Seattle WA 98121.",47.6130931,-122.3465963,belltown,OG30
EX706,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
EX707,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
C708,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C709,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C710,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C711,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
R712,rollin,Rollin Street Flats,"120 Westlake Ave N, Seattle WA 98109.",47.619116,-122.338084,south lake union,OG30
EX815,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
EX826,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
EX829,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
R912,rollin,Rollin Street Flats,"120 Westlake Ave N, Seattle WA 98109.",47.619116,-122.338084,south lake union,OG30
VR1203,verve,Verve,"2720 4th Ave, Seattle WA 98121.",47.618311,-122.3484488,belltown,OG30
VR1204,verve,Verve,"2720 4th Ave, Seattle WA 98121.",47.618311,-122.3484488,belltown,OG30
VR1207,verve,Verve,"2720 4th Ave, Seattle WA 98121.",47.618311,-122.3484488,belltown,OG30
VK1701,viktoria,Viktoria,"1915 2nd Ave, Seattle WA 98101.",47.6109977,-122.3412244,belltown,OG30
MS201,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS202,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS203,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS204,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS205,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS206,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS207,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS208,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS209,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS210,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS304,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS308,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS309,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS310,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS311,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS401,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS402,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS403,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS404,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS406,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS407,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS508,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS509,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS510,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS511,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS512,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS513,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS514,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS515,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS516,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS517,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS518,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS519,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS520,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS609,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS610,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS611,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS612,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS613,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS614,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS615,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS616,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS617,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS618,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS812,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS813,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS814,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS815,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS816,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS817,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS818,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS913,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS914,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS915,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS916,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
MS917,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,south lake union,MARINA
CR302,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR304,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR305,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR307,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR308,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR310,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR312,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR314,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR315,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR316,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR317,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR322,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR323,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR324,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR401,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR402,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR404,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR409,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR410,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR413,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR414,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR416,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR417,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR422,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR423,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR424,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR503,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR505,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR511,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR513,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR514,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR515,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR516,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR517,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR519,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR109,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR110,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR111,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR113,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
CR114,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
